"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1718958960000,undefined,undefined,0,undefined,undefined,0,1,0,0,undefined,undefined,5,5,32,1,0,undefined,undefined,undefined,4
1718958990000,undefined,undefined,0,undefined,undefined,0,1,0,0,0,undefined,5,4,28,1,0,undefined,undefined,undefined,3
1718959020000,undefined,undefined,0,undefined,undefined,1,1,0,2,0,undefined,5,3,21,1,0,undefined,undefined,undefined,2
1718959050000,undefined,undefined,0,undefined,undefined,1,2,0,2,0,undefined,4,7,35,1,0,undefined,undefined,undefined,5
1718959080000,undefined,undefined,0,undefined,undefined,0,undefined,0,0,0,undefined,4,4,28,1,1,undefined,undefined,undefined,3
1718959110000,undefined,undefined,0,undefined,undefined,0,0,0,0,0,undefined,4,4,34,1,0,undefined,undefined,undefined,3
1718959140000,undefined,undefined,0,undefined,undefined,9,0,28,10,1,undefined,5,9,32,2,0,undefined,undefined,undefined,6
1718959170000,7,5,0,0,undefined,114,undefined,6,24,9,2,11,38,32,11,0,undefined,4,3,17
1718959200000,7,5,0,3,undefined,196,712,11,0,11,10,28,40,30,4,0,undefined,7,7,23
1718959230000,4,5,0,1,undefined,307,599,9,3,7,6,20,29,32,undefined,0,undefined,4,5,21
1718959260000,23,6,0,1,undefined,139,659,20,3,undefined,14,39,17,29,15,0,undefined,17,25,24
1718959290000,14,7,0,5,undefined,170,308,36,0,12,24,60,36,26,16,0,undefined,4,14,34
1718959320000,16,13,0,5,undefined,170,undefined,12,0,12,7,32,42,30,16,0,undefined,8,5,27
1718959350000,23,7,0,6,undefined,182,570,22,0,12,16,52,34,31,undefined,0,undefined,11,6,28
1718959380000,24,9,0,10,undefined,193,616,15,0,12,14,28,30,32,11,0,undefined,4,3,24
1718959410000,14,2,0,5,undefined,54,767,16,3,15,23,41,27,30,16,undefined,undefined,16,5,22
1718959440000,20,8,0,14,undefined,348,723,21,0,16,24,49,36,33,12,0,undefined,15,4,39
1718959470000,8,4,0,5,undefined,363,undefined,25,5,9,7,49,18,28,21,0,undefined,39,12,35
1718959500000,7,8,0,6,undefined,268,undefined,29,1,undefined,8,41,26,31,23,0,undefined,16,14,33
1718959530000,10,11,0,9,undefined,257,868,24,0,15,11,43,45,30,22,0,undefined,16,4,38
1718959560000,44,10,0,4,undefined,222,760,17,0,16,14,41,35,31,25,0,undefined,14,15,31
1718959590000,27,9,0,16,undefined,327,851,42,1,16,15,37,39,27,26,0,1,16,5,40
1718959620000,7,11,0,5,9,357,767,16,3,20,3,27,33,31,17,0,2,12,15,31
1718959650000,6,5,0,9,4,222,1294,29,6,20,6,22,17,20,20,0,1,9,11,23
1718959680000,6,5,0,11,0,330,892,19,2,undefined,7,27,18,20,23,0,0,10,16,27
1718959710000,5,5,0,11,0,313,944,26,0,undefined,6,25,27,30,23,0,undefined,7,13,30
1718959740000,12,11,undefined,27,undefined,311,945,32,0,20,18,63,47,32,23,0,undefined,48,20,49
1718959770000,6,10,0,32,undefined,294,706,55,1,19,8,37,35,31,17,0,undefined,16,11,40
1718959800000,7,11,0,42,undefined,70,undefined,29,0,19,11,49,43,29,28,0,undefined,17,24,31
1718959830000,7,11,0,18,undefined,64,undefined,32,2,19,7,45,21,33,28,0,undefined,16,25,24
1718959860000,27,18,0,25,undefined,366,883,36,0,19,10,54,41,33,18,0,undefined,26,13,49
1718959890000,12,10,0,25,undefined,169,1022,13,1,undefined,7,41,46,28,23,0,undefined,39,19,31
1718959920000,11,22,0,71,undefined,279,983,16,1,undefined,7,47,20,31,28,0,undefined,37,13,32
1718959950000,18,19,0,21,undefined,225,601,21,0,20,5,50,4,31,30,0,undefined,39,21,27
1718959980000,17,18,undefined,18,undefined,68,504,42,0,18,19,66,29,27,28,0,undefined,37,13,32
1718960010000,15,11,0,18,undefined,314,978,30,1,19,12,47,39,31,18,0,undefined,63,22,44
1718960040000,6,7,0,9,undefined,254,undefined,25,3,19,5,33,37,28,28,0,undefined,11,7,32
1718960070000,8,10,undefined,17,undefined,213,undefined,12,0,18,10,34,34,21,28,0,undefined,21,10,27
1718960100000,9,11,0,8,undefined,145,958,18,2,20,7,31,43,32,29,0,undefined,14,10,29
1718960130000,7,25,0,8,undefined,62,758,16,0,17,11,49,41,30,35,0,undefined,39,27,29
1718960160000,5,6,0,5,undefined,266,755,32,1,17,15,40,20,31,36,0,undefined,28,10,35
1718960190000,14,11,0,12,undefined,231,703,26,0,17,16,58,23,32,26,0,undefined,45,26,35
1718960220000,13,5,0,8,undefined,175,789,22,1,15,7,41,32,31,27,0,undefined,11,11,31
1718960250000,6,8,0,4,undefined,170,795,13,3,16,7,25,30,23,16,0,undefined,27,10,24
1718960280000,7,11,0,8,undefined,238,851,20,3,9,11,33,32,20,18,1,1,33,15,29
1718960310000,6,9,0,4,undefined,247,840,12,0,11,5,19,35,25,29,0,1,18,3,24
1718960340000,6,7,0,10,6,54,1070,29,5,18,11,23,33,32,26,0,2,16,14,24
1718960370000,8,6,0,7,3,57,515,32,1,undefined,9,28,35,33,19,0,0,12,8,24
1718960400000,6,3,0,6,0,230,undefined,22,0,undefined,7,27,30,29,33,0,0,7,16,28
1718960430000,31,5,0,9,0,240,629,21,3,14,20,39,26,32,26,0,0,7,14,32
1718960460000,10,8,0,9,undefined,291,478,27,0,13,10,41,34,32,15,0,undefined,11,20,36
1718960490000,11,6,0,5,undefined,331,679,19,4,14,12,31,27,27,38,0,undefined,6,19,34
1718960520000,11,10,0,5,undefined,287,620,16,2,9,19,34,25,32,36,0,undefined,8,9,32
1718960550000,13,9,0,4,undefined,308,616,26,1,undefined,12,48,29,27,42,0,undefined,5,14,38
1718960580000,7,3,0,6,undefined,302,452,46,0,12,4,40,18,18,16,0,undefined,16,9,35
1718960610000,0,1,0,1,undefined,186,undefined,38,0,4,0,26,10,28,14,0,undefined,5,3,23
1718960640000,0,0,0,0,undefined,0,undefined,17,2,0,0,48,9,32,26,0,undefined,0,0,14
1718960670000,undefined,undefined,0,undefined,undefined,172,1,18,4,0,undefined,103,9,32,19,0,undefined,undefined,undefined,24
1718960700000,undefined,undefined,0,undefined,undefined,276,1,18,0,0,undefined,94,5,33,18,0,undefined,undefined,undefined,27
1718960730000,undefined,undefined,undefined,undefined,undefined,199,3,33,0,0,undefined,168,12,31,21,0,undefined,undefined,undefined,32
1718960760000,undefined,undefined,0,undefined,undefined,0,1,13,0,undefined,undefined,82,13,25,22,0,undefined,undefined,undefined,15
1718960790000,undefined,undefined,0,undefined,undefined,0,1,21,0,0,undefined,63,5,30,21,0,undefined,undefined,undefined,13
1718960820000,undefined,undefined,0,undefined,undefined,228,1,15,0,0,undefined,42,10,32,23,0,undefined,undefined,undefined,25
1718960850000,undefined,undefined,0,undefined,undefined,163,4,12,2,undefined,undefined,79,9,33,27,0,undefined,undefined,undefined,23
1718960880000,undefined,undefined,0,undefined,undefined,306,1,35,4,undefined,undefined,148,12,30,26,0,undefined,undefined,undefined,40
1718960910000,undefined,undefined,0,undefined,undefined,254,1,21,0,0,undefined,112,8,32,14,0,undefined,undefined,undefined,28
1718960940000,undefined,undefined,0,undefined,undefined,226,1,32,0,0,undefined,132,6,25,25,0,undefined,undefined,undefined,31
1718960970000,undefined,undefined,0,undefined,undefined,230,3,22,0,0,undefined,52,6,33,24,0,undefined,undefined,undefined,27
1718961000000,undefined,undefined,0,undefined,undefined,236,1,18,0,0,undefined,129,7,29,25,0,undefined,undefined,undefined,28
1718961030000,undefined,undefined,0,undefined,undefined,207,0,14,2,0,undefined,75,14,30,21,0,undefined,undefined,undefined,25
1718961060000,undefined,undefined,0,undefined,undefined,170,3,25,0,0,undefined,86,8,33,27,0,undefined,undefined,undefined,27
1718961090000,undefined,undefined,0,undefined,undefined,169,3,31,3,0,undefined,131,7,33,20,0,undefined,undefined,undefined,27
1718961120000,undefined,undefined,0,undefined,undefined,263,undefined,13,0,0,undefined,57,10,33,31,0,undefined,undefined,undefined,28
1718961150000,undefined,undefined,0,undefined,undefined,237,1,25,0,0,undefined,89,5,31,28,1,undefined,undefined,undefined,30
1718961180000,undefined,undefined,0,undefined,undefined,0,2,19,0,0,undefined,82,6,32,12,0,undefined,undefined,undefined,12
1718961210000,undefined,undefined,0,undefined,undefined,0,2,5,0,undefined,undefined,21,5,16,1,0,undefined,undefined,undefined,4
1718961240000,undefined,undefined,0,undefined,undefined,0,undefined,6,2,0,undefined,16,5,22,1,0,undefined,undefined,undefined,4
1718961270000,undefined,undefined,0,undefined,undefined,0,undefined,0,0,0,undefined,5,3,32,1,0,undefined,undefined,undefined,2
1718961300000,undefined,undefined,0,undefined,undefined,0,2,0,0,0,undefined,6,3,35,1,0,undefined,undefined,undefined,2
1718961330000,undefined,undefined,0,undefined,undefined,0,2,0,0,0,undefined,3,3,25,1,0,undefined,undefined,undefined,2
1718961360000,undefined,undefined,0,undefined,undefined,0,undefined,0,0,undefined,undefined,5,5,32,0,0,undefined,undefined,undefined,3
1718961390000,undefined,undefined,0,undefined,undefined,0,1,0,0,0,undefined,3,6,25,1,0,undefined,undefined,undefined,4
1718961420000,undefined,undefined,0,undefined,undefined,1,1,0,0,0,undefined,5,3,32,1,0,undefined,undefined,undefined,3
1718961450000,undefined,undefined,0,undefined,undefined,0,2,0,3,0,undefined,5,7,33,1,1,undefined,undefined,undefined,5