"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1718958960000,undefined,undefined,2,undefined,undefined,16,82,18,16,10,undefined,6,7,13,119,undefined,undefined,undefined,8
1718958990000,undefined,undefined,2,undefined,undefined,16,82,18,16,10,undefined,6,10,13,119,undefined,undefined,undefined,8
1718959020000,undefined,undefined,2,undefined,undefined,16,85,18,18,10,undefined,6,12,13,119,undefined,undefined,undefined,8
1718959050000,undefined,undefined,2,undefined,undefined,16,84,18,17,10,undefined,6,9,13,119,undefined,undefined,undefined,8
1718959080000,undefined,undefined,2,undefined,undefined,16,84,18,17,10,undefined,6,8,13,119,undefined,undefined,undefined,8
1718959110000,undefined,undefined,2,undefined,undefined,16,85,18,17,10,undefined,6,8,13,119,undefined,undefined,undefined,8
1718959140000,5,5,2,undefined,undefined,21,85,47,18,11,undefined,6,9,13,119,undefined,2,3,8
1718959170000,10,10,2,3,undefined,26,101,19,13,7,11,6,8,13,119,undefined,7,7,10
1718959200000,10,11,2,7,undefined,25,109,26,13,7,16,7,9,13,119,undefined,8,9,11
1718959230000,12,11,2,8,undefined,26,115,22,16,7,18,7,14,13,119,undefined,9,9,11
1718959260000,42,36,2,16,undefined,25,102,76,16,7,41,7,7,13,119,undefined,59,41,13
1718959290000,28,36,2,31,undefined,26,102,78,16,7,74,7,7,13,119,undefined,20,35,14
1718959320000,54,55,2,28,undefined,26,103,57,16,7,35,8,9,13,119,undefined,25,19,15
1718959350000,55,40,2,43,undefined,27,101,59,13,7,68,8,9,13,119,undefined,27,20,16
1718959380000,57,37,2,44,undefined,27,107,52,13,7,68,8,7,13,119,undefined,17,15,16
1718959410000,52,28,2,31,undefined,29,101,112,15,7,91,8,12,13,119,undefined,33,27,17
1718959440000,54,45,2,50,undefined,28,99,122,15,7,91,8,10,13,119,undefined,28,21,18
1718959470000,33,37,2,27,undefined,28,99,108,12,7,43,9,8,13,119,undefined,75,59,19
1718959500000,27,51,2,42,undefined,29,101,107,13,8,44,9,8,13,119,undefined,29,62,19
1718959530000,24,40,2,30,undefined,30,109,88,13,7,32,9,7,13,119,undefined,32,29,17
1718959560000,93,35,2,19,undefined,30,99,65,13,8,60,8,7,13,119,12,33,49,17
1718959590000,51,48,2,47,9,31,100,112,13,7,56,7,8,13,119,16,23,28,16
1718959620000,22,39,2,14,17,34,107,77,15,7,22,8,9,13,119,19,29,63,17
1718959650000,20,21,2,16,16,32,119,88,17,7,32,8,12,13,119,20,18,35,16
1718959680000,21,21,2,16,15,33,118,54,12,7,32,8,7,13,119,364,19,52,17
1718959710000,18,20,2,14,279,34,103,86,11,7,32,8,9,13,119,364,19,55,17
1718959740000,48,64,2,47,undefined,33,141,75,11,7,98,8,8,13,119,undefined,69,54,18
1718959770000,26,38,2,48,undefined,32,117,135,11,7,55,9,8,13,119,undefined,29,31,18
1718959800000,23,41,2,48,undefined,32,117,93,11,8,55,9,7,13,119,undefined,26,57,18
1718959830000,22,32,2,39,undefined,34,114,80,15,7,36,9,10,13,119,undefined,23,52,17
1718959860000,76,77,2,37,undefined,34,103,67,11,7,87,9,10,13,119,undefined,63,39,18
1718959890000,51,56,2,33,undefined,31,109,34,11,7,45,9,8,13,119,undefined,58,41,17
1718959920000,38,60,2,83,undefined,32,110,48,11,7,41,9,8,13,119,undefined,42,23,18
1718959950000,70,72,2,32,undefined,32,110,47,11,7,36,9,7,13,119,undefined,56,32,18
1718959980000,52,72,2,26,undefined,31,102,83,11,7,86,9,7,13,119,undefined,33,18,17
1718960010000,47,43,2,20,undefined,32,105,102,11,7,70,9,13,13,119,undefined,48,34,17
1718960040000,27,22,2,16,undefined,32,105,64,14,8,44,9,10,13,119,undefined,19,17,16
1718960070000,30,24,2,20,undefined,32,124,57,18,7,51,9,11,13,119,undefined,22,17,17
1718960100000,33,25,2,16,undefined,31,121,64,12,7,52,9,8,13,119,undefined,20,17,18
1718960130000,26,70,2,36,undefined,32,102,59,12,7,112,10,10,13,119,undefined,59,76,18
1718960160000,21,29,2,29,undefined,31,106,88,11,7,66,10,8,14,119,undefined,33,35,18
1718960190000,61,28,2,76,undefined,32,106,103,11,7,65,10,10,14,119,undefined,41,41,19
1718960220000,58,23,2,42,undefined,33,105,105,11,7,50,10,11,14,119,undefined,30,29,19
1718960250000,29,33,2,35,undefined,32,102,64,11,7,37,11,10,14,119,undefined,32,28,19
1718960280000,28,29,2,35,undefined,32,117,69,15,7,38,10,8,14,119,10,31,25,19
1718960310000,27,28,2,28,5,32,110,48,15,7,35,9,8,14,119,13,28,22,18
1718960340000,29,24,2,71,13,35,114,105,11,7,45,9,8,14,119,18,26,48,19
1718960370000,28,22,2,54,13,33,114,98,11,7,40,9,7,14,119,27,27,23,19
1718960400000,28,21,2,53,13,33,107,92,11,7,36,9,7,14,120,66,24,26,18
1718960430000,100,33,2,47,234,33,105,72,15,7,80,9,12,14,120,66,28,26,19
1718960460000,40,35,2,36,undefined,34,116,80,15,7,47,9,9,14,120,undefined,31,47,19
1718960490000,40,27,2,29,undefined,33,104,56,15,7,51,9,8,14,120,undefined,25,38,19
1718960520000,40,46,2,25,undefined,32,105,82,13,7,66,9,7,14,120,undefined,23,19,19
1718960550000,60,58,2,26,undefined,33,109,81,11,7,72,10,7,14,119,undefined,19,31,20
1718960580000,39,39,2,26,undefined,30,101,112,11,7,32,8,7,14,119,undefined,61,27,18
1718960610000,31,120,2,24,undefined,30,101,143,11,7,44,8,7,14,119,undefined,60,93,18
1718960640000,142,115,2,24,undefined,30,106,80,14,7,44,7,10,14,119,undefined,241,177,17
1718960670000,undefined,undefined,2,undefined,undefined,30,106,81,17,8,undefined,7,10,14,119,undefined,150,152,17
1718960700000,undefined,undefined,2,undefined,undefined,28,106,57,17,8,undefined,7,9,15,119,undefined,undefined,undefined,16
1718960730000,undefined,undefined,2,undefined,undefined,28,101,121,17,8,undefined,7,7,15,119,undefined,undefined,undefined,16
1718960760000,undefined,undefined,2,undefined,undefined,28,101,62,17,9,undefined,7,7,15,119,undefined,undefined,undefined,16
1718960790000,undefined,undefined,2,undefined,undefined,28,103,82,17,9,undefined,8,7,15,119,undefined,undefined,undefined,15
1718960820000,undefined,undefined,2,undefined,undefined,28,103,65,17,10,undefined,8,8,15,119,undefined,undefined,undefined,15
1718960850000,undefined,undefined,2,undefined,undefined,28,93,94,19,10,undefined,7,7,15,119,undefined,undefined,undefined,15
1718960880000,undefined,undefined,2,undefined,undefined,27,93,103,18,10,undefined,7,10,15,119,undefined,undefined,undefined,14
1718960910000,undefined,undefined,2,undefined,undefined,27,93,98,18,10,undefined,7,7,15,119,undefined,undefined,undefined,14
1718960940000,undefined,undefined,2,undefined,undefined,26,93,134,18,10,undefined,7,7,15,119,undefined,undefined,undefined,14
1718960970000,undefined,undefined,2,undefined,undefined,27,89,70,18,10,undefined,7,10,15,119,undefined,undefined,undefined,13
1718961000000,undefined,undefined,2,undefined,undefined,27,89,97,18,10,undefined,7,8,15,119,undefined,undefined,undefined,13
1718961030000,undefined,undefined,2,undefined,undefined,27,89,65,18,10,undefined,8,11,15,119,undefined,undefined,undefined,13
1718961060000,undefined,undefined,2,undefined,undefined,28,86,98,18,10,undefined,8,7,15,119,undefined,undefined,undefined,13
1718961090000,undefined,undefined,2,undefined,undefined,27,86,114,18,10,undefined,8,7,15,119,undefined,undefined,undefined,14
1718961120000,undefined,undefined,2,undefined,undefined,27,86,58,18,10,undefined,8,7,15,119,undefined,undefined,undefined,13
1718961150000,undefined,undefined,2,undefined,undefined,27,86,85,18,11,undefined,8,7,16,119,undefined,undefined,undefined,13
1718961180000,undefined,undefined,2,undefined,undefined,27,90,74,18,11,undefined,8,7,16,119,undefined,undefined,undefined,13
1718961210000,undefined,undefined,2,undefined,undefined,26,92,210,18,11,undefined,7,7,16,119,undefined,undefined,undefined,13
1718961240000,undefined,undefined,2,undefined,undefined,26,92,597,18,10,undefined,7,12,16,119,undefined,undefined,undefined,13
1718961270000,undefined,undefined,2,undefined,undefined,26,94,1061,18,10,undefined,7,10,16,119,undefined,undefined,undefined,12
1718961300000,undefined,undefined,2,undefined,undefined,26,95,1053,19,10,undefined,7,8,16,119,undefined,undefined,undefined,12
1718961330000,undefined,undefined,2,undefined,undefined,25,95,848,19,10,undefined,7,8,16,119,undefined,undefined,undefined,12
1718961360000,undefined,undefined,2,undefined,undefined,25,95,747,19,10,undefined,7,8,16,119,undefined,undefined,undefined,12
1718961390000,undefined,undefined,2,undefined,undefined,25,95,588,19,8,undefined,7,7,16,119,undefined,undefined,undefined,11
1718961420000,undefined,undefined,2,undefined,undefined,25,95,468,19,8,undefined,7,7,16,119,undefined,undefined,undefined,11
1718961450000,undefined,undefined,2,undefined,undefined,25,88,445,19,9,undefined,7,8,16,119,undefined,undefined,undefined,11