"Time","city-pole-00001","event-store-00003","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1719006000000,348.63,2581.497,348.63,undefined,undefined,undefined,undefined,undefined,348.63,348.63,348.63,4324.647
1719006030000,498.63,3731.497,498.63,124.543,undefined,undefined,undefined,undefined,498.63,498.63,498.63,6349.19
1719006060000,648.63,4886.984,648.63,174.543,undefined,undefined,undefined,undefined,648.63,648.63,648.63,8304.678
1719006090000,798.63,6036.613,798.63,224.543,undefined,0,0,undefined,798.63,798.63,798.63,10254.306
1719006120000,948.63,7189.984,948.63,274.543,undefined,1.745,1.745,undefined,948.63,948.63,948.63,12211.168
1719006150000,1098.63,8339.736,1098.63,324.543,undefined,1.497,1.497,undefined,1098.63,1098.63,1098.63,14160.423
1719006180000,1248.63,9489.559,1248.63,374.543,undefined,1.373,1.373,undefined,1248.63,1248.63,1248.63,16109.998
1719006210000,1398.63,10698.991,1398.63,424.543,undefined,2.596,2.596,undefined,1456.036,1398.63,1398.63,18179.283
1719006240000,1548.63,12132.343,1548.63,533.861,undefined,4.994,4.994,undefined,1771.836,1548.63,1548.63,20642.547
1719006270000,1696.432,13343.704,1698.63,641.109,undefined,7.278,7.278,undefined,2084.476,1698.63,1696.432,22873.968
1719006300000,1848.63,14765.022,1848.63,746.906,undefined,9.491,9.491,undefined,2394.818,1848.63,1848.63,25320.248
1719006330000,1998.63,16405.047,1998.63,851.65,undefined,11.657,11.657,undefined,2703.437,1998.63,1998.63,27977.967
1719006360000,2148.63,17823.671,2148.63,955.603,undefined,13.789,13.789,undefined,3010.731,2148.63,2148.63,30412.102
1719006390000,2298.63,19349.355,2298.63,1058.948,undefined,15.897,15.897,undefined,3316.982,2298.63,2298.63,32951.599
1719006420000,2448.63,20978.419,2448.63,1161.815,undefined,17.988,17.988,0,3622.4,2448.63,2448.63,35593.13
1719006450000,2598.63,22938.171,2598.63,1374.239,500.664,26.752,26.752,87.272,3927.141,2598.63,2598.63,39275.512
1719006480000,2748.63,24800.235,2748.63,1694.428,350.832,42.76,42.76,74.848,4231.324,2748.63,2748.63,42231.707
1719006510000,2898.63,26322.51,2898.63,2007.83,300.888,58.567,58.567,68.636,4535.042,2898.63,2898.63,44946.56
1719006540000,3048.63,28524.654,3048.63,2318.354,275.916,74.273,74.273,64.909,4838.369,3048.63,3048.63,48365.268
1719006570000,3198.63,30381.583,3198.63,2627.77,260.933,89.896,89.896,62.424,5141.364,3198.63,3198.63,51448.385
1719006600000,3348.63,32236.519,3348.63,2936.244,250.944,105.45,105.45,60.649,5444.073,3348.63,3348.63,54533.848
1719006630000,3498.63,34089.733,3498.63,3243.912,243.809,120.945,120.945,59.318,5746.536,3498.63,3498.63,57619.718
1719006660000,3648.63,35941.45,3648.63,3550.882,238.458,136.391,136.391,58.283,6048.784,3648.63,3648.63,60705.16
1719006690000,3798.63,37791.858,3798.63,3857.246,234.296,151.795,151.795,57.454,6350.846,3798.63,3798.63,63789.809
1719006720000,3948.63,39641.113,3948.63,4163.08,230.966,167.161,167.161,56.777,6652.742,3948.63,3948.63,66873.521
1719006750000,4079.944,41213.211,4097.592,4462.21,228.242,181.453,182.496,56.212,6912.968,4062.296,4079.944,69556.568
1719006780000,4248.63,43336.677,4248.63,4773.402,225.972,197.803,197.803,55.734,7256.114,4248.63,4248.63,73038.025
1719006810000,4398.63,45183.197,4398.63,5077.989,224.051,213.085,213.085,55.325,7557.619,4398.63,4398.63,76118.871
1719006840000,4548.63,47028.991,4548.63,5382.249,222.405,228.346,228.346,54.97,7859.02,4548.63,4548.63,79198.847
1719006870000,4698.63,48874.133,4698.63,5686.215,220.978,243.588,243.588,54.659,8160.328,4698.63,4698.63,82278.007
1719006900000,4848.63,50395.68,4848.63,5989.916,219.729,258.812,258.812,54.385,8461.552,4848.63,4848.63,85033.405
1719006930000,4998.63,52127.634,4998.63,6190.182,218.627,267.815,267.815,54.141,8762.699,4998.63,4998.63,87883.435
1719006960000,5148.63,53742.896,5148.63,6287.336,217.648,269.588,269.588,53.923,9063.776,5148.63,5148.63,90499.274
1719006990000,5298.63,54930.988,5298.63,6384.662,216.772,271.374,271.374,53.727,9364.791,5298.63,5298.63,92688.208
1719007020000,5448.63,56545.425,5448.63,6482.145,215.983,273.175,273.175,53.55,9665.747,5448.63,5448.63,95303.718
1719007050000,5598.63,57947.084,5598.63,6579.772,215.27,274.987,274.987,53.388,9966.65,5598.63,5598.63,97706.658
1719007080000,5748.63,59348.978,5748.63,6677.53,214.621,276.81,276.81,53.241,10267.504,5748.63,5748.63,100110.015
1719007110000,5898.63,60853.696,5898.63,6775.41,210.136,278.644,278.644,106.212,10568.314,5898.63,5898.63,102665.575
1719007140000,6048.63,62462.045,6048.63,6873.402,427.336,280.487,280.487,105.963,10869.081,6048.63,6048.63,105493.321
1719007170000,6198.63,64121.566,6198.63,6971.496,639.462,282.338,282.338,158.601,11118.572,6198.63,6198.63,108368.893
1719007200000,6347.606,65174.656,6348.63,7018.447,638.04,282.145,282.145,158.283,11265.671,6348.63,6347.606,110211.859
1719007230000,6498.63,66323.508,6498.63,7065.547,636.726,281.961,281.961,157.987,11413.945,6498.63,6498.63,112156.155
1719007260000,6648.63,67546.444,6648.63,7112.785,635.506,282.812,282.812,157.711,11561.309,6648.63,6648.63,114173.9
1719007290000,6798.63,68434.315,6798.63,7160.152,634.371,282.646,282.646,157.454,11708.794,6798.63,6798.63,115854.898
1719007320000,6948.63,69832.801,6948.63,7207.638,633.313,283.511,283.511,157.214,11856.39,6948.63,6948.63,118048.899
1719007350000,7098.63,70974.99,7098.63,7255.236,632.324,283.36,283.36,156.988,12004.091,7098.63,7098.63,119984.869
1719007380000,7248.63,72117.512,7248.63,7302.938,631.397,283.215,283.215,156.777,12151.89,7248.63,7248.63,121921.464
1719007410000,7334.329,72744.92,7334.329,7326.232,630.528,284.099,284.099,156.577,12225.273,7335.35,7334.329,122990.068
1719007440000,7331.323,72715.003,7331.323,7323.102,629.71,283.967,283.967,156.389,12220.247,7332.343,7331.323,122938.697
1719007470000,7328.436,72686.283,7328.436,7320.1,628.939,283.84,283.84,156.212,12215.422,7329.456,7328.436,122889.401
1719007500000,7325.663,72658.689,7325.663,7317.218,628.211,283.718,283.718,156.044,12210.786,7326.682,7325.663,122842.057
1719007530000,7322.996,72632.157,7322.996,7314.449,627.523,283.601,283.601,155.885,12206.329,7324.016,7322.996,122796.551
1719007560000,7320.43,72606.626,7320.43,7311.787,626.872,283.489,283.489,155.734,12202.04,7321.449,7320.43,122752.778