"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total Memory Usage"
1719065610000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065640000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065670000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065700000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065730000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065760000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065790000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065820000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065850000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065880000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065910000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065940000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719065970000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066000000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066030000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066060000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066090000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066120000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066150000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066180000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066210000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066240000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066270000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066300000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066330000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066360000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066390000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066420000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066450000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066480000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066510000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066540000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066570000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066600000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066630000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066660000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066690000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066720000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066750000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066780000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066810000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066840000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066870000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066900000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066930000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066960000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719066990000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067020000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067050000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067080000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067110000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067140000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067170000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067200000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067230000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067260000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067290000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067320000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067350000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067380000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067410000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232
1719067440000,104857600,239075328,134217728,104857600,67108864,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,72719871232